Game Type,Group Members,Date,Time,Place,Total Players,Eliminations,Assists,Revives,Accuracy (%),Hits,Head Shots,Distance Traveled (in meters),Materials Gathered,Materials Used,Damage Taken,Damage To Players,Damage To Structures
duos,simba,2019-08-07,21:46,3,99,1,0,0,0.10,22,2,938,806,170,435,298,16199
duos,simba,2019-08-07,21:15,2,99,0,9,0,0.29,51,20,3000,1151,790,340,600,15706
duos,simba,2019-08-07,20:52,47,98,0,1,0,0.44,7,0,138,103,0,164,180,390
duos,simba,2019-08-07,20:47,11,96,2,0,0,0.55,26,0,2000,737,140,314,541,12160
duos,simba,2019-08-07,20:34,18,100,0,2,0,0.12,3,0,887,259,240,162,78,5858
duos,simba,2019-08-07,20:25,14,99,0,0,0,0.14,18,4,2000,320,290,202,79,4704
solos,none,2019-08-07,16:33,3,99,2,0,0,0.32,32,5,5000,2184,1240,393,346,18163
solos,none,2019-08-07,11:58,48,97,1,0,0,0.21,33,6,371,457,70,257,133,2406
solos,none,2019-08-07,11:53,8,97,1,0,0,0.17,12,1,3000,1890,490,200,178,11204
solos,none,2019-08-07,11:37,71,98,0,0,0,0.33,5,0,80,64,20,113,120,1680
solos,none,2019-08-07,11:33,59,98,0,0,0,0.56,10,0,313,58,0,92,102,1010
solos,none,2019-08-06,12:37,3,96,1,0,0,0.11,10,3,4000,3120,1520,236,215,29991
solos,none,2019-08-06,12:14,19,95,3,0,0,0.20,60,3,1000,120,0,396,331,0
solos,none,2019-08-06,12:03,15,98,2,0,0,0.17,29,0,1000,43,220,145,272,7724
duos,simba,2019-08-05,19:07,11,99,0,2,0,0.14,13,5,2000,952,550,361,147,10839
duos,simba,2019-08-05,18:53,46,98,0,0,0,0.00,0,0,0.98,0,0,204,0,0
duos,simba,2019-08-05,18:50,30,99,0,0,0,0.25,1,0,237,183,60,230,38,2114
duos,simba,2019-08-05,18:45,4,97,1,0,0,0.09,2,0,3000,1656,530,251,187,26672
duos,simba,2019-08-05,18:27,36,100,0,1,0,0.24,12,0,175,60,10,203,80,511
solos,none,2019-08-05,18:14,38,95,1,0,0,0.08,19,5,393,255,250,103,315,7053
solos,none,2019-08-05,18:06,3,97,3,1,0,0.31,81,2,4000,1817,1810,478,773,14036
solos,none,2019-08-05,17:43,25,95,2,0,0,0.15,20,2,2000,426,400,299,488,4236
solos,none,2019-08-05,17:32,40,97,0,0,0,0.37,11,0,553,171,10,174,100,4889
solos,none,2019-08-05,17:08,55,98,0,0,0,0.00,0,0,748,244,0,106,0,0
squads,"sivle, x_DP3, voODoo p2nda",2019-08-04,22:07,25,99,0,0,0,0.00,1,0,72,0,0,226,20,0
solos,none,2019-08-04,21:13,45,98,2,0,0,0.56,35,3,440,248,60,163,249,3450
duos,sivle,2019-08-03,21:54,25,96,1,0,1,0.30,3,3,432,203,60,167,57,8700
solos,none,2019-08-03,16:24,9,63,2,0,0,0.27,52,3,3000,1347,720,395,306,12040
solos,none,2019-08-03,15:34,75,98,0,0,0,0.00,0,0,258,1065,120,124,0,500
solos,none,2019-08-03,15:30,54,97,1,0,0,0.43,34,2,248,314,190,140,133,9143
solos,none,2019-08-03,15:26,83,99,0,0,0,0.18,2,0,59,6,0,89,46,436
solos,none,2019-08-03,15:23,80,98,0,1,0,0.06,5,1,96,145,10,110,118,600
solos,none,2019-08-03,15:15,41,98,0,0,0,0.00,0,0,442,236,210,196,0,3405
solos,none,2019-08-03,15:09,69,100,0,1,0,0.25,2,0,273,73,50,124,62,405
solos,none,2019-08-03,12:21,81,97,0,0,0,0.00,0,0,134,0,0,108,0,0
solos,none,2019-08-03,12:15,89,97,0,0,0,0.00,0,0,103,31,20,99,0,538
solos,none,2019-08-03,12:11,51,96,0,1,0,0.06,1,0,482,267,230,154,31,4455
solos,none,2019-08-03,12:01,69,97,0,0,0,0.00,0,0,209,30,0,128,0,0
solos,none,2019-08-03,11:59,7,97,3,1,0,0.43,85,2,3000,2667,1150,314,2007,12127
trios,"simba, Wickid_Prodigy",2019-07-29,23:24,7,99,0,1,0,0.01,1,0,4000,760,275,35,9435,
trios,"simba, Wickid_Prodigy",2019-07-29,23:01,33,99,0,0,0,0.00,0,0,71,0,0,168,0,3375
trios,"simba, Wickid_Prodigy",2019-07-29,22:57,16,99,1,1,0,0.39,37,6,722,414,140,447,375,2629
trios,"simba, Wickid_Prodigy",2019-07-29,22:48,2,99,0,3,0,0.11,8,0,3000,1561,380,312,280,18761
trios,"simba, Wickid_Prodigy",2019-07-29,22:24,28,96,0,3,0,0.38,50,0,262,275,30,100,350,550
trios,"simba, Wickid_Prodigy",2019-07-29,22:06,7,96,0,1,0,0.07,8,1,2000,1495,740,202,165,16646
solos,none,2019-07-29,21:21,44,94,0,1,0,0.17,1,0,386,390,30,112,81,4837
solos,none,2019-07-29,19:58,4,94,2,2,0,0.18,21,0,4000,3070,2400,212,229,20001
duos,simba,2019-07-29,18:59,6,98,3,0,1,0.15,24,2,3000,1474,960,405,589,176825
solos,none,2019-07-29,18:28,33,93,2,0,0,0.49,33,2,925,545,300,114,297,12547